ISO,Year,AIR
AUS,2008,1851.0
AUS,2009,1761.0
AUS,2010,1841.0
AUS,2011,1963.0
AUS,2012,2141.0
AUS,2013,2378.0
AUS,2014,2361.3
AUS,2015,2149.1
AUS,2016,2147.0
AUS,2017,2244.0
AUS,2018,2298.0
AUS,2019,2298.0
AUS,2020,2298.0
AUS,2021,2298.0
AUS,2022,2298.0
AUS,2023,2298.0
AUS,2024,2298.0
AUS,2025,2298.0
AUS,2026,2298.0
AUS,2027,2298.0
AUS,2028,2298.0
AUS,2029,2298.0
AUS,2030,2298.0
AUS,2031,2298.0
AUS,2032,2298.0
AUS,2033,2298.0
AUS,2034,2298.0
AUS,2035,2298.0
AUS,2036,2298.0
AUS,2037,2298.0
AUS,2038,2298.0
AUS,2039,2298.0
AUS,2040,2298.0
AUS,2041,2298.0
AUS,2042,2298.0
AUS,2043,2298.0
AUS,2044,2298.0
AUS,2045,2298.0
AUS,2046,2298.0
AUS,2047,2298.0
AUS,2048,2298.0
AUS,2049,2298.0
AUS,2050,2298.0
AUT,1990,34.0
AUT,1991,34.0
AUT,1992,34.0
AUT,1993,34.0
AUT,1994,34.0
AUT,1995,34.0
AUT,1996,34.0
AUT,1997,34.0
AUT,1998,34.0
AUT,1999,34.0
AUT,2000,34.0
AUT,2001,34.0
AUT,2002,34.0
AUT,2003,34.0
AUT,2004,34.0
AUT,2005,40.0
AUT,2006,40.0
AUT,2007,44.0
AUT,2008,44.0
AUT,2009,44.0
AUT,2010,26.48
AUT,2011,26.48
AUT,2012,26.48
AUT,2013,52.13
AUT,2014,52.13
AUT,2015,52.13
AUT,2016,38.2
AUT,2017,38.2
AUT,2018,38.2
AUT,2019,38.2
AUT,2020,38.2
AUT,2021,38.2
AUT,2022,38.2
AUT,2023,38.2
AUT,2024,38.2
AUT,2025,38.2
AUT,2026,38.2
AUT,2027,38.2
AUT,2028,38.2
AUT,2029,38.2
AUT,2030,38.2
AUT,2031,38.2
AUT,2032,38.2
AUT,2033,38.2
AUT,2034,38.2
AUT,2035,38.2
AUT,2036,38.2
AUT,2037,38.2
AUT,2038,38.2
AUT,2039,38.2
AUT,2040,38.2
AUT,2041,38.2
AUT,2042,38.2
AUT,2043,38.2
AUT,2044,38.2
AUT,2045,38.2
AUT,2046,38.2
AUT,2047,38.2
AUT,2048,38.2
AUT,2049,38.2
AUT,2050,38.2
AZE,1990,1423.0
AZE,1991,1423.0
AZE,1992,1423.0
AZE,1993,1423.0
AZE,1994,1423.0
AZE,1995,1423.0
AZE,1996,1423.0
AZE,1997,1423.0
AZE,1998,1423.0
AZE,1999,1423.0
AZE,2000,1423.0
AZE,2001,1423.0
AZE,2002,1423.0
AZE,2003,1423.0
AZE,2004,1428.0
AZE,2005,1430.0
AZE,2006,1428.5
AZE,2007,1429.6
AZE,2008,1429.5
AZE,2009,1404.6
AZE,2010,1405.1
AZE,2011,1404.6
AZE,2012,1407.9
AZE,2013,1414.3
AZE,2014,1417.7
AZE,2015,1431.0
AZE,2016,1422.9
AZE,2017,1429.9
AZE,2018,1433.3
AZE,2019,1433.3
AZE,2020,1433.3
AZE,2021,1433.3
AZE,2022,1433.3
AZE,2023,1433.3
AZE,2024,1433.3
AZE,2025,1433.3
AZE,2026,1433.3
AZE,2027,1433.3
AZE,2028,1433.3
AZE,2029,1433.3
AZE,2030,1433.3
AZE,2031,1433.3
AZE,2032,1433.3
AZE,2033,1433.3
AZE,2034,1433.3
AZE,2035,1433.3
AZE,2036,1433.3
AZE,2037,1433.3
AZE,2038,1433.3
AZE,2039,1433.3
AZE,2040,1433.3
AZE,2041,1433.3
AZE,2042,1433.3
AZE,2043,1433.3
AZE,2044,1433.3
AZE,2045,1433.3
AZE,2046,1433.3
AZE,2047,1433.3
AZE,2048,1433.3
AZE,2049,1433.3
AZE,2050,1433.3
BDI,1990,0.0
BDI,1991,0.0
BDI,1992,0.0
BDI,1993,0.0
BDI,1994,0.0
BDI,1995,0.0
BDI,1996,0.0
BDI,1997,0.0
BDI,1998,0.0
BDI,1999,0.0
BDI,2000,0.0
BDI,2001,0.0
BDI,2002,0.0
BDI,2003,0.0
BDI,2004,0.0
BDI,2005,0.0
BDI,2006,0.0
BDI,2007,0.0
BDI,2008,0.0
BDI,2009,0.0
BDI,2010,0.0
BDI,2011,0.0
BDI,2012,0.0
BDI,2013,0.0
BDI,2014,0.0
BDI,2015,0.0
BDI,2016,0.0
BDI,2017,0.0
BDI,2018,0.0
BDI,2019,0.0
BDI,2020,0.0
BDI,2021,0.0
BDI,2022,0.0
BDI,2023,0.0
BDI,2024,0.0
BDI,2025,0.0
BDI,2026,0.0
BDI,2027,0.0
BDI,2028,0.0
BDI,2029,0.0
BDI,2030,0.0
BDI,2031,0.0
BDI,2032,0.0
BDI,2033,0.0
BDI,2034,0.0
BDI,2035,0.0
BDI,2036,0.0
BDI,2037,0.0
BDI,2038,0.0
BDI,2039,0.0
BDI,2040,0.0
BDI,2041,0.0
BDI,2042,0.0
BDI,2043,0.0
BDI,2044,0.0
BDI,2045,0.0
BDI,2046,0.0
BDI,2047,0.0
BDI,2048,0.0
BDI,2049,0.0
BDI,2050,0.0
BEL,1990,1.9
BEL,1991,1.9
BEL,1992,1.9
BEL,1993,1.9
BEL,1994,1.9
BEL,1995,1.9
BEL,1996,1.9
BEL,1997,1.9
BEL,1998,1.9
BEL,1999,1.9
BEL,2000,1.9
BEL,2001,1.9
BEL,2002,1.9
BEL,2003,1.9
BEL,2004,1.9
BEL,2005,3.4
BEL,2006,3.4
BEL,2007,5.7
BEL,2008,5.7
BEL,2009,5.7
BEL,2010,5.7
BEL,2011,5.7
BEL,2012,5.7
BEL,2013,5.7
BEL,2014,5.7
BEL,2015,5.7
BEL,2016,5.7
BEL,2017,5.7
BEL,2018,5.7
BEL,2019,5.7
BEL,2020,5.7
BEL,2021,5.7
BEL,2022,5.7
BEL,2023,5.7
BEL,2024,5.7
BEL,2025,5.7
